Vaud;Bettens;Grands-Pantets
Bâle-Ville;Bettingen;Bettinger, Bettingerinnen
Argovie;Bettwil;Bettwiler, Bettwilerinnen
Neuchâtel;Bevaix;Bevaisans, Bevaisannes
Vaud;Bex;Bellerins, Bellerinnes
Tessin;Biasca;Biaschesi
Argovie;Biberstein;Bibersteiner, Bibersteinerinnen
Berne;Bienne;Biennois, Biennoises
Vaud;Bière;Birolans, Birolanes
Valais;Binn;Binner, Binnerinnen
Valais;Birgisch;Birgischer, Birgischerinnen
Argovie;Birmenstorf;Birmenstorfer, Birmenstorferinnen
Argovie;Birr;Birrer, Birrerinnen
Argovie;Birrhard;Birrharder, Birrharderinnen
Argovie;Birrwil;Birrwiler, Birrwilerinnen
Valais;Bitsch;Bitscher, Bitscherinnen
Berne;Bleienbach;Bleienbacher, Bleienbacherinnen
Tessin;Blenio;Bleniesi
Valais;Blitzingen;Blitzinger, Blitzingerinnen
Vaud;Blonay;Blonaysans, Blonaysanes
Argovie;Böbikon;Böbikoner, Böbikonerinnen
Tessin;Bodio;Bodiesi
Vaud;Bofflens;Bocanis
Vaud;Bogis-Bossey;Les Grenouilles
Neuchâtel;Bôle;Bôlois, Bôloises
Jura;Boncourt;Boncourtois, Boncourtoises
Argovie;Boniswil;Boniswiler, Boniswilerinnen
Vaud;Borex;Borésiens, Borésiennes
Tessin;Bosco/Gurin;Gorinesi (italien) ou Guryner (allemand)
Fribourg;Bossonnens;Bossonnensois, Bossonnensoises
Argovie;Boswil;Boswiler, Boswilerinnen
Vaud;Bottens;Bottanais, Bottanaises
Argovie;Bottenwil;Bottenwiler, Bottenwilerinnen
Argovie;Böttstein;Böttsteiner, Böttsteinerinnen
Neuchâtel;Boudevilliers;Malabars
Neuchâtel;Boudry;Boudrysans, Boudrysanes
Vaud;Bougy-Villars;Bodzérans, Bodzéranes
Valais;Bourg-Saint-Pierre;Bordillons, Bordillonnes
Vaud;Bournens;Argans
Jura;Bourrignon;Canards
Vaud;Boussens;Boussinois, Boussinoises
Neuchâtel;Boveresse;Grenouillards
Valais;Bovernier;Bovernions, Bovernionnes
Argovie;Bözen;Bözener, Bözerinnen
Valais;Bratsch;Bratscher, Bratscherinnen
Glaris;Braunwald;Braunwalder, Braunwalderinnen
Tessin;Breggia;Breggiani
Vaud;Bremblens;Tâtris
Argovie;Bremgarten;Bremgarter, Bremgarterinnen
Berne;Bremgarten bei Bern;Bremgartner, Bremgartnerinnen
Vaud;Brenles;Brenlois, Brenloises
Saint-Gall;Bronschhofen;Bronschhofener, Bronschhoferinnen
Neuchâtel;Brot-Dessous;Brotiers, Brotières
Neuchâtel;Brot-Plamboz;Brotiers, Brotières
Schaffhouse;Buch;Bucher, Bucherinnen
Schaffhouse;Buchberg;Buchberger, Buchbergerinnen
Vaud;Buchillon;Buchillonnais, Buchillonnaises
Saint-Gall;Buchs;Buchser, Buchserinnen
